nombre_articulo,precio,calificacion_promedio,cantidad_calificaciones,descripcion,enlace_articulo
Tarjeta Gráfica Dual Nvidia Geforce Rtx 3050 6gb,1463584,5.0,1,Tamaño de la memoria: 6 GB | Interfaz PCI-Express. | Cuenta con conexión: DisplayPort 1.4a. | Ideal para trabajar a alta velocidad.,https://www.mercadolibre.com.co/tarjeta-grafica-dual-nvidia-geforce-rtx-3050-6gb/p/mco35276804
Tarjeta Gráfica Para Computadora Gddr5 Rx580 Game 8 Gb 256 B,1271352,5.0,4,,https://www.mercadolibre.com.co/1060-gddr5-192bit-gaming-graphics-card-support-hd-multimedia/p/mco2008929949
